"Temperature","TrapType","Abundance"
24.3136628018692,"BG",65.7596467111225
31.8245770316571,"BG",77.1737966483528
26.1346538271755,"BG",71.7449359595761
33.245261060074,"BG",85.8811895578132
34.1070092644077,"BG",87.3219239370028
20.683347490849,"BG",59.8098962521984
27.9215823207051,"BG",73.6127529090981
33.3862856659107,"BG",81.4630127789378
28.2715252169874,"BG",70.0132371152751
26.8492210295517,"BG",66.7960870540415
34.3525001802482,"BG",80.2314654658938
26.8000123428646,"BG",67.5604382956313
30.163559531793,"BG",69.0001373057447
28.5895010293461,"BG",83.0237818853848
21.5438702399842,"BG",64.1275504714934
33.4973745560274,"BG",76.379206196038
23.6913160153199,"BG",60.3682078541444
20.6308930029627,"BG",53.9285092378093
24.9188107892405,"BG",68.7374471701626
34.3175547372084,"BG",83.2182641420577
33.3430897409562,"BG",82.9527720518862
30.392051092349,"BG",75.6413684079545
29.6076022065245,"BG",74.0008521265923
34.9140466493554,"BG",91.6711047187832
29.8355869867373,"BG",73.5423190451783
30.6279570225161,"BG",83.8382670671798
28.1609903706703,"BG",63.5782167201896
28.9121303067077,"BG",75.7473293615957
24.3373960594181,"BG",64.2940633380593
22.2067047096789,"BG",60.4931172630776
34.4453634880483,"CDC",75.788924389896
33.5344856767915,"CDC",69.5573540880365
30.3605791763403,"CDC",64.0551214343334
31.9320112653077,"CDC",63.7711456150799
20.3692052676342,"CDC",40.3794544028906
27.1669395663776,"CDC",60.8515223397764
31.376893062843,"CDC",69.9948350188332
23.2461190375034,"CDC",51.7572592086593
24.7727151145227,"CDC",59.1567675684441
23.4743867802899,"CDC",62.1991969887156
22.1420003357343,"CDC",46.828844841186
26.2181950372178,"CDC",45.8905456962316
26.2058648944367,"CDC",62.4404224111846
25.5326817638706,"CDC",52.5193597148293
22.286671216134,"CDC",46.1332993499312
22.0820909517352,"CDC",54.2920387519538
23.495511491783,"CDC",50.5671579483109
26.9894367537927,"CDC",52.8752849463127
23.9895896054804,"CDC",53.8856966097066
32.867415730143,"CDC",70.0403746480907
20.6874675001018,"CDC",46.403755929703
26.6330011130776,"CDC",60.1924042317869
31.9838726846501,"CDC",67.1144452103382
21.8284888996277,"CDC",51.8788605418496
28.4142197563779,"CDC",60.726006703662
23.0979708442464,"CDC",52.8548515080714
21.9129747536499,"CDC",54.3101445730465
31.2996179645415,"CDC",69.7751433832521
33.4256803872995,"CDC",70.2217028469429
25.6169416382909,"CDC",61.9779213688372
